url,STRING : esrb,STRING : publisher,STRING : genre,STRING : developer
videogame/ps2.gamespy.com/tourist-trophy-the-real-riding-simulator.html,Everyone,Sony Computer Entertainment,Racing,Polyphony Digital
videogame/ps2.gamespy.com/uefa-euro-2004.html,Everyone,Electronic Arts,Sports,EA Canada
videogame/ps2.gamespy.com/uefa-euro-2008.html,Rating Pending,Electronic Arts,Sports,
videogame/ps2.gamespy.com/virtua-fighter-4.html,Teen,SEGA,Fighting,SEGA-AM2
videogame/ps2.gamespy.com/virtua-fighter-4-evolution.html,Teen,SEGA,Fighting,SEGA-AM2
videogame/ps2.gamespy.com/virtual-view-megumi-eyes-play.html,TBA,Pony Canyon,Other,
videogame/ps2.gamespy.com/wwe-crush-hour.html,Teen,THQ,"Racing, Action",Pacific Coast Power and Light (PC&L)
videogame/ps2.gamespy.com/wakeboarding-unleashed-featuring-shaun-murray.html,Everyone,Activision,Sports,Shaba Games
videogame/ps2.gamespy.com/wild-arms-3.html,Teen,Sony Computer Entertainment,RPG,Media.Vision
videogame/ps2.gamespy.com/x2-wolverines-revenge.html,Teen,Activision,Action,GenePool Software
videogame/ps2.gamespy.com/xiii.html,Mature,Ubisoft,Shooter,Ubisoft Paris (France)
videogame/ps2.gamespy.com/gauntlet-seven-sorrows.html,Teen,Midway Games,Action,Midway Games
videogame/ps2.gamespy.com/generation-of-chaos.html,TBA,Idea Factory,"Strategy, RPG",Never-Land Company
videogame/ps2.gamespy.com/genji.html,Mature,Sony Computer Entertainment,Action,Game Republic (JP)
videogame/ps2.gamespy.com/ghost-rider.html,Teen,2K Games,Action,Climax Studios
videogame/ps2.gamespy.com/god-hand.html,Mature,Capcom,Action,Clover Studio
videogame/ps2.gamespy.com/god-of-war.html,Mature,Sony Computer Entertainment,"Action, Adventure",SCE Studios Santa Monica
videogame/ps2.gamespy.com/god-of-war-2-divine-retribution.html,Mature,Sony Computer Entertainment,"Action, Adventure",SCE Studios Santa Monica
videogame/ps2.gamespy.com/godzilla-save-the-earth.html,Teen,Atari,"Fighting, Action",Pipeworks Software
videogame/ps2.gamespy.com/james-bond-007-goldeneye-2.html,Teen,Electronic Arts,Shooter,EA Los Angeles
videogame/ps2.gamespy.com/gran-turismo-3-a-spec.html,Everyone,Sony Computer Entertainment,"Racing, Simulation",Polyphony Digital
videogame/ps2.gamespy.com/gran-turismo-4.html,Everyone,Sony Computer Entertainment,Racing,Polyphony Digital
videogame/ps2.gamespy.com/grand-theft-auto-iii.html,Mature,Rockstar Games,"Action, Adventure",DMA Design
videogame/ps2.gamespy.com/grand-theft-auto-liberty-city-stories.html,Mature,Rockstar Games,Action,Rockstar Leeds
videogame/ps2.gamespy.com/grand-theft-auto-san-andreas-special-edition.html,Mature,Rockstar Games,"Action, Adventure",Rockstar North
videogame/ps2.gamespy.com/grand-theft-auto-vice-city.html,Mature,Rockstar Games,"Action, Adventure",Rockstar North
videogame/ps2.gamespy.com/grandia-iii.html,Teen,Square Enix,RPG,Game Arts
videogame/ps2.gamespy.com/growlanser-generations.html,Teen,Working Designs,"Strategy, RPG",Career Soft
videogame/ps2.gamespy.com/guitar-hero.html,Teen,RedOctane,Music,Harmonix
videogame/ps2.gamespy.com/guitar-hero-ii-rocks-the-80s.html,Teen,RedOctane,Music,Harmonix
videogame/ps2.gamespy.com/guitar-hero-2.html,Teen,RedOctane / Activision,Music,Harmonix
videogame/ps2.gamespy.com/guitar-hero-iii.html,Teen,RedOctane,Music,Neversoft Entertainment
videogame/ps2.gamespy.com/gumball-3000.html,TBA,SCi Entertainment Group,Racing,Climax Studios
videogame/ps2.gamespy.com/gun.html,Mature,Activision,Shooter,Neversoft Entertainment
videogame/ps2.gamespy.com/gungrave-od.html,Mature,Mastiff,Shooter,Red Entertainment
videogame/ps2.gamespy.com/demento.html,Mature,Capcom,Adventure,Capcom Production Studio 1
videogame/ps2.gamespy.com/hitman-blood-money.html,Mature,Eidos Interactive,Action,Io Interactive
videogame/ps2.gamespy.com/hitman-contracts.html,Mature,Eidos Interactive,"Action, Adventure",Io Interactive
videogame/ps2.gamespy.com/hot-shots-golf-fore.html,Everyone,Sony Computer Entertainment,Sports,Clap Hanz
videogame/ps2.gamespy.com/ico.html,Teen,Sony Computer Entertainment,Adventure,SCEI
videogame/ps2.gamespy.com/inuyasha-feudal-combat.html,Teen,Bandai,Fighting,Eighting
videogame/ps2.gamespy.com/sole-predator.html,Mature,Majesco,Action,Appaloosa Interactive
videogame/ps2.gamespy.com/jak-x.html,Teen,Sony Computer Entertainment,Racing,Naughty Dog Software
videogame/ps2.gamespy.com/rise-to-honor.html,Teen,Sony Computer Entertainment,"Fighting, Action",Sony Computer Entertainment
videogame/ps2.gamespy.com/juiced.html,Teen,THQ,Racing,Juice Games
videogame/ps2.gamespy.com/justice-league-of-america.html,Teen,Warner Bros. Interactive,"Action, RPG",Snowblind Studios
videogame/ps2.gamespy.com/katamari-damashii.html,Everyone,Namco,Action,Namco
videogame/ps2.gamespy.com/kelly-slaters-pro-surfer.html,Everyone,Activision,Sports,Treyarch
videogame/ps2.gamespy.com/kessen.html,Teen,Electronic Arts,Strategy,KOEI
videogame/ps2.gamespy.com/killzone.html,Mature,Sony Computer Entertainment,Shooter,Guerrilla Games
videogame/ps2.gamespy.com/kingdom-hearts.html,Everyone,Square Electronic Arts (US),"Action, RPG",Square
videogame/ps2.gamespy.com/kingdom-hearts-ii.html,Everyone 10+,Square Enix,"Action, RPG",Square Enix
videogame/ps2.gamespy.com/la-rush.html,Teen,Midway Games,Racing,Midway Studios - Newcastle
videogame/ps2.gamespy.com/lego-indiana-jones-the-videogame.html,Everyone 10+,LucasArts,Adventure,Traveller's Tales
videogame/ps2.gamespy.com/lego-star-wars-the-original-trilogy.html,Everyone 10+,LucasArts / TT Games,Action,Traveller's Tales
videogame/ps2.gamespy.com/lego-star-wars.html,Everyone,Giant Interactive Entertainment / LucasArts,Action,Traveller's Tales
videogame/ps2.gamespy.com/tomb-raider-10th-anniversary-edition.html,Teen,Eidos Interactive,Adventure,Crystal Dynamics
